QUESTION,ANSWER
What city are we in?,Magdeburg
What is the name of your team?,<your team name>
Name the big hairy creature in Star Wars.,Chewbacca
Who wrote the three laws of robotics?,Isaac Asimov
From what series do you know Rosie the robot?,The Jetsons
From what series do you know the baby Bam Bam?,The Flintstones
Who is the main character of The Matrix?,Neo
Name the two RoboCup@Home standard platforms.,Pepper and HSR
Where do you store your memories?,<My harddrive/SSD/RAM...>
Where is your team located?,<Your team's home city>
